"subject" "activity" "domain" "acceleration" "source" "firstDerivation" "secondDerivation" "calculation" "direction" "meanValue" "unit"
"1" "walking_downstairs" "frequency" "body" "accelerometer" "jerk" "magnitude" "mean" NA -0.119701861678571 "g"
"1" "walking_downstairs" "frequency" "body" "accelerometer" "jerk" "magnitude" "std" NA -0.254298875903571 "g"
"1" "walking_downstairs" "frequency" "body" "accelerometer" "jerk" NA "mean" "x" -0.184777986714286 "g"
"1" "walking_downstairs" "frequency" "body" "accelerometer" "jerk" NA "mean" "y" -0.22808852075 "g"
"1" "walking_downstairs" "frequency" "body" "accelerometer" "jerk" NA "mean" "z" -0.434256061428571 "g"
"1" "walking_downstairs" "frequency" "body" "accelerometer" "jerk" NA "std" "x" -0.202478678509643 "g"
"1" "walking_downstairs" "frequency" "body" "accelerometer" "jerk" NA "std" "y" -0.224905915296429 "g"
"1" "walking_downstairs" "frequency" "body" "accelerometer" "jerk" NA "std" "z" -0.516095982857143 "g"
"1" "walking_downstairs" "frequency" "body" "accelerometer" "magnitude" NA "mean" NA -0.06760317325 "g"
"1" "walking_downstairs" "frequency" "body" "accelerometer" "magnitude" NA "std" NA -0.264349880378571 "g"
"1" "walking_downstairs" "frequency" "body" "accelerometer" NA NA "mean" "x" -0.113658525846429 "g"
"1" "walking_downstairs" "frequency" "body" "accelerometer" NA NA "mean" "y" -0.0742782819 "g"
"1" "walking_downstairs" "frequency" "body" "accelerometer" NA NA "mean" "z" -0.296473813678571 "g"
"1" "walking_downstairs" "frequency" "body" "accelerometer" NA NA "std" "x" -0.103948089932143 "g"
"1" "walking_downstairs" "frequency" "body" "accelerometer" NA NA "std" "y" -0.0455758867178571 "g"
"1" "walking_downstairs" "frequency" "body" "accelerometer" NA NA "std" "z" -0.112452208571429 "g"
"1" "walking_downstairs" "frequency" "body" "gyroscope" "jerk" "magnitude" "mean" NA -0.435965402464286 "rad/seg"
"1" "walking_downstairs" "frequency" "body" "gyroscope" "jerk" "magnitude" "std" NA -0.537559601428571 "rad/seg"
"1" "walking_downstairs" "frequency" "body" "gyroscope" "magnitude" NA "mean" NA -0.248337149392857 "rad/seg"
"1" "walking_downstairs" "frequency" "body" "gyroscope" "magnitude" NA "std" NA -0.324706683214286 "rad/seg"
"1" "walking_downstairs" "frequency" "body" "gyroscope" NA NA "mean" "x" -0.423577624642857 "rad/seg"
"1" "walking_downstairs" "frequency" "body" "gyroscope" NA NA "mean" "y" -0.186405372785714 "rad/seg"
"1" "walking_downstairs" "frequency" "body" "gyroscope" NA NA "mean" "z" -0.178911898535714 "rad/seg"
"1" "walking_downstairs" "frequency" "body" "gyroscope" NA NA "std" "x" -0.535530097142857 "rad/seg"
"1" "walking_downstairs" "frequency" "body" "gyroscope" NA NA "std" "y" -0.0339426658214286 "rad/seg"
"1" "walking_downstairs" "frequency" "body" "gyroscope" NA NA "std" "z" -0.362665404285714 "rad/seg"
"1" "walking_downstairs" "time" "body" "accelerometer" "jerk" "magnitude" "mean" NA -0.219716752860714 "g"
"1" "walking_downstairs" "time" "body" "accelerometer" "jerk" "magnitude" "std" NA -0.173363865521429 "g"
"1" "walking_downstairs" "time" "body" "accelerometer" "jerk" NA "mean" "x" 0.0628772325714286 "g"
"1" "walking_downstairs" "time" "body" "accelerometer" "jerk" NA "mean" "y" 0.0243084681678571 "g"
"1" "walking_downstairs" "time" "body" "accelerometer" "jerk" NA "mean" "z" -0.0161821921428571 "g"
"1" "walking_downstairs" "time" "body" "accelerometer" "jerk" NA "std" "x" -0.156114020335714 "g"
"1" "walking_downstairs" "time" "body" "accelerometer" "jerk" NA "std" "y" -0.199718153632143 "g"
"1" "walking_downstairs" "time" "body" "accelerometer" "jerk" NA "std" "z" -0.476050511428571 "g"
"1" "walking_downstairs" "time" "body" "accelerometer" "magnitude" NA "mean" NA -0.0140828025671429 "g"
"1" "walking_downstairs" "time" "body" "accelerometer" "magnitude" NA "std" NA -0.101515471785714 "g"
"1" "walking_downstairs" "time" "body" "accelerometer" NA NA "mean" "x" 0.272154196428571 "g"
"1" "walking_downstairs" "time" "body" "accelerometer" NA NA "mean" "y" -0.0153264487792857 "g"
"1" "walking_downstairs" "time" "body" "accelerometer" NA NA "mean" "z" -0.0949711475357143 "g"
"1" "walking_downstairs" "time" "body" "accelerometer" NA NA "std" "x" -0.10438892475 "g"
"1" "walking_downstairs" "time" "body" "accelerometer" NA NA "std" "y" -0.0102461790107143 "g"
"1" "walking_downstairs" "time" "body" "accelerometer" NA NA "std" "z" -0.116902427035714 "g"
"1" "walking_downstairs" "time" "body" "gyroscope" "jerk" "magnitude" "mean" NA -0.405708505357143 "rad/seg"
"1" "walking_downstairs" "time" "body" "gyroscope" "jerk" "magnitude" "std" NA -0.461512406071429 "rad/seg"
"1" "walking_downstairs" "time" "body" "gyroscope" "jerk" NA "mean" "x" -0.121134045164286 "rad/seg"
"1" "walking_downstairs" "time" "body" "gyroscope" "jerk" NA "mean" "y" -0.0704164515642857 "rad/seg"
"1" "walking_downstairs" "time" "body" "gyroscope" "jerk" NA "mean" "z" -0.0169168070785714 "rad/seg"
"1" "walking_downstairs" "time" "body" "gyroscope" "jerk" NA "std" "x" -0.528469100357143 "rad/seg"
"1" "walking_downstairs" "time" "body" "gyroscope" "jerk" NA "std" "y" -0.389002888178571 "rad/seg"
"1" "walking_downstairs" "time" "body" "gyroscope" "jerk" NA "std" "z" -0.383401011071429 "rad/seg"
"1" "walking_downstairs" "time" "body" "gyroscope" "magnitude" NA "mean" NA -0.0916624324642857 "rad/seg"
"1" "walking_downstairs" "time" "body" "gyroscope" "magnitude" NA "std" NA -0.204749539785714 "rad/seg"
"1" "walking_downstairs" "time" "body" "gyroscope" NA NA "mean" "x" 0.00793679635714286 "rad/seg"
"1" "walking_downstairs" "time" "body" "gyroscope" NA NA "mean" "y" -0.124194573607143 "rad/seg"
"1" "walking_downstairs" "time" "body" "gyroscope" NA NA "mean" "z" 0.0749974305928571 "rad/seg"
"1" "walking_downstairs" "time" "body" "gyroscope" NA NA "std" "x" -0.505927252857143 "rad/seg"
"1" "walking_downstairs" "time" "body" "gyroscope" NA NA "std" "y" -0.0722302850357143 "rad/seg"
"1" "walking_downstairs" "time" "body" "gyroscope" NA NA "std" "z" -0.264048974032143 "rad/seg"
"1" "walking_downstairs" "time" "gravity" "accelerometer" "magnitude" NA "mean" NA -0.0140828025671429 "g"
"1" "walking_downstairs" "time" "gravity" "accelerometer" "magnitude" NA "std" NA -0.101515471785714 "g"
"1" "walking_downstairs" "time" "gravity" "accelerometer" NA NA "mean" "x" 0.905800576071429 "g"
"1" "walking_downstairs" "time" "gravity" "accelerometer" NA NA "mean" "y" -0.330026645 "g"
"1" "walking_downstairs" "time" "gravity" "accelerometer" NA NA "mean" "z" -0.0941463448928571 "g"
"1" "walking_downstairs" "time" "gravity" "accelerometer" NA NA "std" "x" -0.957048614642857 "g"
"1" "walking_downstairs" "time" "gravity" "accelerometer" NA NA "std" "y" -0.945034861071429 "g"
"1" "walking_downstairs" "time" "gravity" "accelerometer" NA NA "std" "z" -0.906579158214286 "g"
"1" "walking_upstairs" "frequency" "body" "accelerometer" "jerk" "magnitude" "mean" NA -0.532375042459436 "g"
"1" "walking_upstairs" "frequency" "body" "accelerometer" "jerk" "magnitude" "std" NA -0.567060313747649 "g"
"1" "walking_upstairs" "frequency" "body" "accelerometer" "jerk" NA "mean" "x" -0.579173297953636 "g"
"1" "walking_upstairs" "frequency" "body" "accelerometer" "jerk" NA "mean" "y" -0.531855037161571 "g"
"1" "walking_upstairs" "frequency" "body" "accelerometer" "jerk" NA "mean" "z" -0.718218510282132 "g"
"1" "walking_upstairs" "frequency" "body" "accelerometer" "jerk" NA "std" "x" -0.573954794100627 "g"
"1" "walking_upstairs" "frequency" "body" "accelerometer" "jerk" NA "std" "y" -0.487435630497743 "g"
"1" "walking_upstairs" "frequency" "body" "accelerometer" "jerk" NA "std" "z" -0.757327282507837 "g"
"1" "walking_upstairs" "frequency" "body" "accelerometer" "magnitude" NA "mean" NA -0.51451018417837 "g"
"1" "walking_upstairs" "frequency" "body" "accelerometer" "magnitude" NA "std" NA -0.618268506526646 "g"
"1" "walking_upstairs" "frequency" "body" "accelerometer" NA NA "mean" "x" -0.568605586936991 "g"
"1" "walking_upstairs" "frequency" "body" "accelerometer" NA NA "mean" "y" -0.435590309958119 "g"
"1" "walking_upstairs" "frequency" "body" "accelerometer" NA NA "mean" "z" -0.622737954733542 "g"
"1" "walking_upstairs" "frequency" "body" "accelerometer" NA NA "std" "x" -0.592481151925078 "g"
"1" "walking_upstairs" "frequency" "body" "accelerometer" NA NA "std" "y" -0.420395771879091 "g"
"1" "walking_upstairs" "frequency" "body" "accelerometer" NA NA "std" "z" -0.532475457591223 "g"
"1" "walking_upstairs" "frequency" "body" "gyroscope" "jerk" "magnitude" "mean" NA -0.664403718243574 "rad/seg"
"1" "walking_upstairs" "frequency" "body" "gyroscope" "jerk" "magnitude" "std" NA -0.698823947630094 "rad/seg"
"1" "walking_upstairs" "frequency" "body" "gyroscope" "magnitude" NA "mean" NA -0.560164643022571 "rad/seg"
"1" "walking_upstairs" "frequency" "body" "gyroscope" "magnitude" NA "std" NA -0.587806637924765 "rad/seg"
"1" "walking_upstairs" "frequency" "body" "gyroscope" NA NA "mean" "x" -0.640742579222884 "rad/seg"
"1" "walking_upstairs" "frequency" "body" "gyroscope" NA NA "mean" "y" -0.533301013116928 "rad/seg"
"1" "walking_upstairs" "frequency" "body" "gyroscope" NA NA "mean" "z" -0.586410823021003 "rad/seg"
"1" "walking_upstairs" "frequency" "body" "gyroscope" NA NA "std" "x" -0.723424966517241 "rad/seg"
"1" "walking_upstairs" "frequency" "body" "gyroscope" NA NA "std" "y" -0.464574198389028 "rad/seg"
"1" "walking_upstairs" "frequency" "body" "gyroscope" NA NA "std" "z" -0.675738548401254 "rad/seg"
"1" "walking_upstairs" "time" "body" "accelerometer" "jerk" "magnitude" "mean" NA -0.574021004097179 "g"
"1" "walking_upstairs" "time" "body" "accelerometer" "jerk" "magnitude" "std" NA -0.545989980899812 "g"
"1" "walking_upstairs" "time" "body" "accelerometer" "jerk" NA "mean" "x" 0.0783408328178683 "g"
"1" "walking_upstairs" "time" "body" "accelerometer" "jerk" NA "mean" "y" 0.0159134348518495 "g"
"1" "walking_upstairs" "time" "body" "accelerometer" "jerk" NA "mean" "z" -0.00848661885111599 "g"
"1" "walking_upstairs" "time" "body" "accelerometer" "jerk" NA "std" "x" -0.557076221469279 "g"
"1" "walking_upstairs" "time" "body" "accelerometer" "jerk" NA "std" "y" -0.494172400365831 "g"
"1" "walking_upstairs" "time" "body" "accelerometer" "jerk" NA "std" "z" -0.738499733742947 "g"
"1" "walking_upstairs" "time" "body" "accelerometer" "magnitude" NA "mean" NA -0.492214147385266 "g"
"1" "walking_upstairs" "time" "body" "accelerometer" "magnitude" NA "std" NA -0.531818239176489 "g"
"1" "walking_upstairs" "time" "body" "accelerometer" NA NA "mean" "x" 0.265130137749216 "g"
"1" "walking_upstairs" "time" "body" "accelerometer" NA NA "mean" "y" -0.0185590134726959 "g"
"1" "walking_upstairs" "time" "body" "accelerometer" NA NA "mean" "z" -0.108975792340125 "g"
"1" "walking_upstairs" "time" "body" "accelerometer" NA NA "std" "x" -0.584539467328931 "g"
"1" "walking_upstairs" "time" "body" "accelerometer" NA NA "std" "y" -0.39909289878558 "g"
"1" "walking_upstairs" "time" "body" "accelerometer" NA NA "std" "z" -0.536504094358307 "g"
"1" "walking_upstairs" "time" "body" "gyroscope" "jerk" "magnitude" "mean" NA -0.660039846322884 "rad/seg"
"1" "walking_upstairs" "time" "body" "gyroscope" "jerk" "magnitude" "std" NA -0.668775141492163 "rad/seg"
"1" "walking_upstairs" "time" "body" "gyroscope" "jerk" NA "mean" "x" -0.0950035033872414 "rad/seg"
"1" "walking_upstairs" "time" "body" "gyroscope" "jerk" NA "mean" "y" -0.0391973611410658 "rad/seg"
"1" "walking_upstairs" "time" "body" "gyroscope" "jerk" NA "mean" "z" -0.0497921651970846 "rad/seg"
"1" "walking_upstairs" "time" "body" "gyroscope" "jerk" NA "std" "x" -0.647410243423198 "rad/seg"
"1" "walking_upstairs" "time" "body" "gyroscope" "jerk" NA "std" "y" -0.656018144169279 "rad/seg"
"1" "walking_upstairs" "time" "body" "gyroscope" "jerk" NA "std" "z" -0.68927331655768 "rad/seg"
"1" "walking_upstairs" "time" "body" "gyroscope" "magnitude" NA "mean" NA -0.509087500201881 "rad/seg"
"1" "walking_upstairs" "time" "body" "gyroscope" "magnitude" NA "std" NA -0.525740915096552 "rad/seg"
"1" "walking_upstairs" "time" "body" "gyroscope" NA NA "mean" "x" -0.0234054649840439 "rad/seg"
